KEY_NAME;ROOT_ELEMENT;KEY_PATH;KEY_REQ
Suspend_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/ГРНИПДата/@ГРНИП;
Succeedor_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДата/@ДатаЗаписи;
Succeedor_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДатаИспр/@ДатаЗаписи;
Succeedor_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДата/@ГРНИП;
Succeedor_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДатаИспр/@ГРНИП;
Address_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/ГРНИПДата/@ГРНИП;
Address_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/ГРНИПДатаИспр/@ГРНИП;
Address_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/ГРНИПДата/@ДатаЗаписи;
Address_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/ГРНИПДатаИспр/@ДатаЗаписи;
Email;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрЭлПочты/@E-mail;
Email_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрЭлПочты/ГРНИПДата/@ГРНИП;
Email_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрЭлПочты/ГРНИПДатаИспр/@ГРНИП;
Email_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрЭлПочты/ГРНИПДата/@ДатаЗаписи;
Email_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрЭлПочты/ГРНИПДатаИспр/@ДатаЗаписи;
Registration_OGRNIPDate;/EGRIP/СвИП;/EGRIP/СвИП/СвРегИП/@ДатаОГРНИП;
Registration_OGRNIP;/EGRIP/СвИП;/EGRIP/СвИП/СвРегИП/@ОГРНИП;
Farm_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегИП/СвКФХ/ГРНИПДата/@ГРНИП;
Farm_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвРегИП/СвКФХ/ГРНИПДатаИспр/@ГРНИП;
Farm_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегИП/СвКФХ/ГРНИПДата/@ДатаЗаписи;
Farm_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвРегИП/СвКФХ/ГРНИПДатаИспр/@ДатаЗаписи;
LegalStatus_Address;/EGRIP/СвИП;/EGRIP/СвИП/СвРегОрг/@АдрРО;
LegalStatus_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегОрг/ГРНИПДата/@ГРНИП;
LegalStatus_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегОрг/ГРНИПДата/@ДатаЗаписи;
Pension_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/ГРНИПДата/@ГРНИП;
Pension_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/ГРНИПДатаИспр/@ГРНИП;
Pension_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/ГРНИПДата/@ДатаЗаписи;
Pension_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/ГРНИПДатаИспр/@ДатаЗаписи;
Social_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/ГРНИПДата/@ГРНИП;
Social_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/ГРНИПДатаИспр/@ГРНИП;
Social_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/ГРНИПДата/@ДатаЗаписи;
Social_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/ГРНИПДатаИспр/@ДатаЗаписи;
Tax_INN;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/@ИННФЛ;
Tax_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/ГРНИПДата/@ГРНИП;
Tax_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/ГРНИПДатаИспр/@ГРНИП;
Tax_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/ГРНИПДата/@ДатаЗаписи;
Tax_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/ГРНИПДатаИспр/@ДатаЗаписи;
